,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero,Title,Hero Order,Role(s),Specialty(ies),Lane Recommendation(s),Health,Health Regen,Mana,Mana Regen,Attack Speed,Physical Damage,Magical Damage,Physical Defense,Magical Defense,Movement Speed,Energy,Energy Regen,Price,Specialty,Win Rate,Hero, Name Pasive Abilities,Ability,Pasive Deskripsi,Skill 1 Name Abilities,Skill 1 Ability,Skill 1 Pasive Deskripsi,Skill 2 Name Abilities,Skill 2 Ability,Skill 2 Pasive Deskripsi,Skill 3 Name Abilities,Skill 3 Ability,Skill 3 Pasive Deskripsi
Kimmy,"Kimmy, the Jetpack Rebel",71,Marksman/Mage,Damage/Magic Damage,Gold Lane,2450,8,,,1.03 ┃ 100%,90,0,22,15,245,100,5,32000   599,Damage/Magic Damage,357W : 310L (53.52%),Kimmy,Chemist's Instinct,BUFF,"Kimmy can move and aim in other directions when using her Spray Gun, but is often less accurate. Kimmy's Spray Gun attack restores 5 energy on hit and deals (+23%Total Physical Attack)(+25%Total Magic Power) Magic Damage (scales with level, up to 115%, but only benefits from 75% of Kimmy's Magic Lifesteal).
 
Kimmy cannot gain extra Attack Speed and will convert every 10% Attack Speed she receives into 5 Movement Speed. Kimmy restores 15 energy each time she kills an enemy.",Energy Transformation,AoE,"Hold: Kimmy continuously shoots Chemical Bolts in the target direction, each bolt consuming 5 energy and dealing 35 (+23%Total Physical Attack)(+25%Total Magic Power) Magic Damage to the enemy hit. Chemical Bolts that fail to hit an enemy will explode at the end of its path, dealing the same amount of damage to nearby enemies.

The Chemical Bolts can critically strike, but only benefit from 40% of Kimmy's Spell Vamp.",Chemical Refinement,Blink AoE,"Kimmy shoots out enhanced Chemical Spray and recoils in the opposite direction. Enemies that come into contact with the Spray left on the path will take 14 (+30%Total Physical Attack)(+40%Total Magic Power) Magic Damage every 0.5s and be slowed by 40% for 4s. 

Kimmy also restores 30 energy upon casting this skill.",Maximum Charge,Burst,"After a period of charging, Kimmy launches a Luminous Chemical Attack in a designated direction. The projectile will explode upon hitting an enemy or reaching the maximum range, dealing 130 (+100%Total Physical Attack)(+115%Total Magic Power)-238 (+185%Total Physical Attack)(+211%Total Magic Power) Magic Damage to the primary target (scales with charging time) and 83% damage to nearby enemies. 

Kimmy restores 30 energy if this skill hits an enemy."
Thamuz,"Thamuz, the Lord Lava",72,Fighter,Chase,EXP Lane/Jungling,2758,7.4,0,0,1.05 ┃ 100%,107,0,17,15,250,,,32000   599,Chase/Damage,870W : 863L (50.2%),Thamuz,Grand Lord Lava,Debuff,"When Thamuz is holding his Scythes, his each Basic Attack has a chance to conjure a burst of Lava Energy beneath the target that erupts after a 0.7s delay, dealing 50 (+110%Total Physical Attack) True Damage.

When without Scythes, Thamuz gains 25% extra Movement Speed and will enhance his next Basic Attack after retrieving the Scythes. The enhanced Basic Attack slows the target by 30% and is guaranteed to trigger Lava Energy.",Molten Scythes,AoE Slow,"Thamuz tosses his Scythes in the target direction, dealing 150(+60%Total Physical Attack) Physical Damage to the first enemy hero or creep hit. After hitting a target or traveling a certain distance, the Scythes begin to roll in the same direction at a lower speed, dealing 45(+20%Extra Physical Attack) Physical Damage to nearby enemies every 0.5s and slowing them by 30%.

The Scythes will fly back to Thamuz after a while or when he's too far away. Thamuz can cast this skill again or approach the Scythes to retrieve them early.",Chasm Trample,Blink BUFF,"Thamuz jumps to a designated area to deal 230 (+60%Extra Physical Attack) Physical Damage and slow the enemy units by 25% for 2s upon landing.

If the scythes are still travelling, they will return to Thamuz and Molten Scythes will reset its CD instantly.",Cauterant Inferno,AoE BUFF,"Thamuz spouts the lava stored in his body, dealing 300 (+80%Total Physical Attack) Physical Damage to nearby enemies and creating a Cauterant Zone around him. The Cauterant Zone lasts 9s and deals 30 (+10%Extra Physical Attack) Physical Damage every 0.5s to enemies in the area. Meanwhile, Thamuz gains 500 extra Max HP, heals himself by the same amount, and increases his Attack Speed by 1.3 times. He also recovers 1.5% Max HP each time he deals damage with Basic Attacks or his Scythes."
Harith,"Harith, the Time Traveler",73,Mage,Chase,Mid Lane/Jungling,2701,7.2,490,18,1.05 ┃ 100%,114,0,19,15,240,,,32000   599,Chase/Damage,609W : 599L (50.41%),Harith,Key Insight,BUFF,Harith gains insight from his Key. He immediately reduces its time controlled up to 45% (dependent on the number of nearby enemy heroes).,Synchro Fission,AoE,"Harith creates a phantom of himself in a distant location. Harith and his phantom will then release Synchro Fission toward each other, dealing 216(+84%Total Magic Power) Magic Damage to all enemy units on the path. When the 2 energy waves collide, an explosion occurs, dealing 590(+210%Total Magic Power) Magic Damage to all enemies in the explosion area.",Chrono Dash,Blink BUFF,"Harith dashes towards the designated direction. When arrives, he steals Magic Power of nearby enemy heroes, generates a shield that absorbs at least 185(+120%Total Magic Power) damage and enhance the next Basic Attack. Harith's enhanced Basic Attack deals 225(+80%Total Magic Power) Magic Damage and slows enemies by 40%. Hitting an enemy with Harith's enhanced Basic Attack reduces the CD of the next Chrono Dash by 3s.",Zaman Force,BUFF Slow,"Harith uses his Key to summon the Zaman Force. When the multidimensional rift appears, the CD of Chrono Dash is reduced by 4s. The rift then slows the nearby enemies by 35% for a period of time. If Harith comes into contact with the rift when using Chrono Dash, he will absorb the energy within it, so as to reduce the CD of Synchro Fission/Chrono Dash by 1s/3s respectively."
Minsitthar,"Minsitthar, the Courageous Warrior",74,Fighter,Initiator,EXP Lane/Roaming,2698,7.4,380,16,1.06 ┃ 100%,121,0,23,15,260,,,32000   599,Initiator/Crowd Control,159W : 220L (41.95%),Minsitthar,Mark of the King,BUFF,"Minsitthar inspires the whole team. When teammates slay enemy heroes, he obtains extra 60 Gold wherever he is; whenever Minsitthar himself slay enemies, all his teammates obtain extra 15 Gold.",Spear of Glory,CC AoE,"Minsitthar stabs ahead with the Spear of Glory, dealing 175 (+180% Extra Physical Attack) Physical Damage to all enemies along the way.

When pulling back the spear, he will also pull toward himself the first enemy the spear hits, dealing 150 (+80%Extra Physical Attack) Physical Damage and knocks the target back.",Shield Assault,CC Shield,"Minsitthar awakens the strength of the shield and releases the power within forward. The power explodes upon hitting the first enemy unit and deals 300 (+160% Extra Physical Attack) Physical Damage to all enemies in the area. Meanwhile, he obtains 350 (+100% Total Physical Attack) Shield and increases 20% Movement Speed immediately.

The first enemy will be stunned for 1s and the other enemies will be knocked back.",King's Calling,Summon CC,"Minsitthar charges a short distance forward and calls 4 Royal Guards to form a field and fight together with him. Each attack of Royal Guards deals (+70% Total Physical Attack) Physical Damage. The Royal Guards cannot move, but they'll attack enemies in the field first.

When staying in the area. Minsitthar gains 30 Physical and Magic Defense. Enemies in the field are slowed by 20% and cannot use directional Blink skills."
Kadita,Kadita,75,Mage/Assassin,TBA,Mid Lane/Roaming,2491,7.2,495,18,1 ┃ 100%,105,0,18,15,240,,,32000   599,Burst/Charge,1013W : 867L (53.88%),Kadita,Thalassophobia,HEAL,"Kadita gains the Blessing of the Ocean every 30s. The Blessing is triggered when she takes damage from enemy heroes and lasts 4s, allowing her to recover 65% of the HP lost within the duration afterward.",Ocean Oddity,Blink AoE,"Kadita summons an ocean wave to carry her in the target direction and then back (ignores terrain), dealing 300(+90%Total Magic Power) Magic Damage to enemies along the way and slowing them by 30%. She gains Control Immunity and 50% extra Damage Reduction when inside the wave.
Use Again: Kadita leaves the wave without interrupting the wave's movement.",Breath of the Ocean,AoE CC,"After a short delay, Kadita summons an ocean wave to erupt at the target location, dealing 350(+140%Total Magic Power) Magic Damage to enemies hit and knocking them airborne for 1.5s.
Kadita can cast this skill during Ocean Oddity to summon an ocean wave beneath her with a shorter eruption delay.",Rough Waves,Burst Invincible,"Kadita dives into the ground and sends ocean waves in all directions, each dealing 300(+60%Total Magic Power) Magic Damage to enemies hit and slowing them by 30%. Enemies hit by multiple waves take increased damage. The waves then return to Kadita, each dealing 200(+40%Total Magic Power) Magic Damage to enemies along the way. Enemies hit by multiple returning waves take less damage after the first hit.
When underground, Kadita is untargetable and gains 60% extra Movement Speed."
Faramis,"Faramis, the Soul Binder",76,Support/Mage,Guard/Charge,Roaming/Mid Lane,2543,6.8,500,19,0.98 ┃ 100%,118,0,20,15,245,,,32000   599,Guard/Charge,1227W : 1093L (52.89%),Faramis,Vicious Retrieval,BUFF,"Every 4s, Faramis' next skill against enemy heroes and summoned objects generates a soul fragment on the spot. Faramis can absorb the soul fragment to restore 100(+50%Total Magic Power) HP and gain 2 extra Magic Power (up to 40 stacks). Upon death, he consumes the absorbed soul fragments to reduce the respawn timer, each reducing the timer by 3% (up to 90%). Enemies that die around Faramis also have a chance to drop soul fragments.",Shadow Stampede,BUFF CC,"Faramis enters the Shadow state for 3s, gaining 70% extra Movement Speed, 50 extra Physical & Magic Defense, increased soul fragment absorption range, and the ability to move through terrain. Enemy heroes that come into contact with Faramis in this state are dealt 250(+60%Total Magic Power) Magic Damage and applied with a Nether Mark. Each enemy hero hit also reduces this skill's cooldown by 20%. Upon leaving the Shadow state, Faramis pulls all the marked enemy heroes toward him, dealing them 250(+60%Total Magic Power) Magic Damage. 

Use Again: Faramis leaves the Shadow state early and pulls marked enemies toward him.",Ghost Bursters,AoE Burst,"Faramis gathers Nether energy in a fan-shaped area ahead, dealing 300(+108%Total Magic Power) Magic Damage to enemies within. The energy will then split and bounce to nearby enemies, dealing 200(+72%Total Magic Power) Magic Damage (splits up to 3 times on enemy hero hits and 1 time on non-enemy hero hits).",Nether Realm,Death Immune BUFF,"Faramis turns his surroundings into the Nether Realm for 6s, granting affected allied heroes (including himself) 600 plus 10(+5%Total Magic Power)% extra HP and 50% extra Movement Speed for 1s. When the extra HP is depleted, the hero will have all debuffs on them removed and enter a brief Resurrection state, becoming unable to move or attack but immune to damage for 1.3s."
Badang,"Badang, the Tribal Warrior",77,Fighter,Charge,EXP Lane,2708,8,0,0,1.13 ┃ 100%,111,0,23,15,255,,,32000   599,Chase/Burst,50W : 58L (46.3%),Badang,Chivalry Fist,CC Damage,"After every 4 Basic Attacks, Badang's next Basic Attack deals 50(+30%Total Physical Attack) extra Physical Damage to enemies hit and knocks them back. Enemies that are knocked into obstacles will be stunned for 0.8s (minions and creeps are stunned directly).

Fist Wind generated by Badang's skills can also trigger this effect.",Fist Wind,AoE Slow,"Badang unleashes a gust of Fist Wind in the target direction, dealing 160(+90%Total Physical Attack) Physical Damage to enemies hit, slowing them by 30% for 1.5s, and knocking them back. The Fist Wind will explode upon hitting an obstacle, dealing 120(+60%Total Physical Attack) Physical Damage to nearby enemies. Fist Wind can trigger attack effects and grants Badang 1 Chivalry Fist stack upon cast.

Badang stores up to 2 Fist Wind charges and restores 1 charge every 11.0s.",Fist Break,Blink CC,"Badang dashes in the target direction, dealing 230(+50%Total Physical Attack) Physical Damage to enemies in his path while gaining a 350(+150%Total Physical Attack) shield that lasts 5s. He stops immediately upon hitting an enemy hero, slightly knocking them back while creating an obstacle that lasts 4s behind them. Enemies hit by the obstacle are dealt 130(+30%Total Physical Attack) Physical Damage.
Use Again: Badang removes the obstacle he created.",Fist Crack,Burst AoE,"Badang throws a flurry of punches in the target direction, dealing 80(+54%Total Physical Attack) Physical Damage to enemies hit multiple times (can trigger attack effects). The Fist Wind generated by the punches will explode upon hitting an obstacle, dealing 40(+27%Total Physical Attack) Physical Damage to nearby enemies.

Badang is immune to control effects for the duration."
Khufra,"Khufra, the Desert Tyrant",78,Tank,TBA,Roaming,2770,9.4,460,15,0.98 ┃ 100%,117,0,19,15,255,,,32000   599,Initiator/Crowd Control,1759W : 1783L (49.66%),Khufra,Spell Curse,HEAL Damage,"Khufra activates the Spell Curse left by Esmeralda every 12s, enhancing his next Basic Attack. The enhanced Basic Attack gains extra attack range and deals Magic Damage equal to (+120% Total Physical Attack) plus 6% of the target's Max HP. Also slows the target by 30% for 1.5s and heals Khufra by 8% of his Max HP on hit.

Each time Khufra applies a control effect to an enemy hero with his skill, the cooldown of Spell Curse is reduced by 4s.",Tyrant's Revenge,Blink CC,"Khufra pulls the bandage on his arms to launch himself in the specified direction, dealing Physical Damage equal to 50 plus 7(+1.5%Extra Physical Attack)% of his Max HP to all enemy units on the path. When blinking to the furthest distance or encountering a first enemy hero, Khufra will immediately stop, dealing Physical Damage equal to 50 plus 7(+1.5%Extra Physical Attack)% of his Max HP to enemies nearby and then knocking them in the air for up to 1.1s.",Bouncing Ball,BUFF Slow,"Khufra uses bandage to wrap himself into a magic bouncing ball, increasing his own Physical & Magic Defense by 30%. Enemies trying to use blink skills to move across Khufra will be knocked airborne. Each time the magic bouncing ball hits the ground, it will deal Magic Damage equal to 50 plus 3(+2%Extra Physical Attack)% of his Max HP to enemies nearby and slow them by 80%. Lasts 0.2s.",Tyrant's Rage,CC AoE,"Khufra pulls back all enemy targets around him toward his front, dealing 300(+100%Total Physical Attack) Physical Damage and slowing them down for 1.25s. If the enemies are knocked against walls, extra Physical Damage equal to 150% of this skill's damage will be inflicted upon them, and they will be stunned, instead of slowed."
Granger,"Granger, the Death Chanter",79,Marksman,Burst,Gold Lane/Jungling,2370,5.4,0,0,1.02 ┃ 40%,100,0,15,15,240,,,32000   599,Burst/Reap,498W : 532L (48.35%),Granger,Caprice,Damage BUFF,"Granger can fill his gun with up to 6 bullets at a time. Each 6th bullet deals Critical Damage. Granger's Basic Attack will deal 50(+110%Total Physical Attack) Physical Damage, but he gains 40% Attack Speed from Equipment or Emblems.",Rhapsody,Burst,"Granger fills his gun with all bullets and shoots them forward, each bullet dealing 35(+70%Total Physical Attack) Physical Damage (90 more damage against creeps).",Rondo,Blink BUFF,"Granger blinks in the designated direction, and his next 2 Basic Attacks deal extra 10% of damage in 5s.
Each time ""Rhapsody"" hits an enemy hero, the CD of this skill will be reduced by 0.5s.",Death Sonata,Burst Slow,"Granger transforms his violin into a super cannon and fills it with all bullets. He then shoots 2 Super Bullets forward at a time. The Super Bullet ignores Minions along the way and only hits enemy heroes. Super Bullets will explode upon hitting the first enemy hero, dealing 80(+70%Total Physical Attack) + 12% of enemy's lost HP Physical Damage to enemies nearby and slowing the enemies hit by 80%. Each time Granger shoots a Super Bullet, he can move to another location. When ""Death Sonata"" ends, the cooldown of this skill will be reduced by 15% for every 2 remaining Super Bullets."
Guinevere,"Guinevere, the Ms. Violet",80,Fighter,Burst,EXP Lane,2528,7.8,0,0,1.14 ┃ 100%,126,0,18,15,260,,,32000   599,Burst/Magic Damage,163W : 164L (49.85%),Guinevere,Super Magic,BUFF Damage,"Guinevere deals 25% extra damage to airborne enemies.
 
Guinevere deals (+80%Total Physical Attack)(+60%Total Magic Power) Magic Damage with her Basic Attacks and accumulates Super Magic each time she deals damage. When she's fully charged, her next Basic Attack becomes guided, dealing 80(+100%Total Physical Attack)(+120%Total Magic Power) Magic damage on hit and restoring 80 plus 8% of her lost HP. 

Enemies hit by Guinevere's enhanced Basic Attack, Energy Wave, or Spatial Migration are marked for 5s. Those with 3 marks will be knocked airborne when hit by her Violet Requiem.",Energy Wave,Damage BUFF,"Guinevere releases an energy orb in the target direction, dealing 300(+130%Total Magic Power) Magic Damage to the first enemy hit and slowing them by 50% for 1.2s.

Successfully hitting an enemy reduces all her skill cooldowns by 1s.",Spatial Migration,Blink CC,"Guinevere thumps at the target location for 250(+80%Total Magic Power) Magic Damage. Enemy Heroes and Creeps hit will be knocked airborne for 1s and take 125(+50%Total Magic Power) additional Magic Damage. 

After cast, Guinevere can reactivate the skill in 5s to blink toward the target direction and leave an illusion behind. If the illusion takes damage, it restores Super Magic for Guinevere and will explode in 1.5s, dealing 100(+30%Total Magic Power) Magic Damage to nearby enemies.",Violet Requiem,Burst CC,"nevere creates a force field around her, attacking nearby enemies 11 times within 2s, dealing 650(+500%Total Magic Power) Magic Damage in total.

If the enemy hit is already airborne, they will be knocked airborne again, up to 6 additional times. Guinevere is immune to CC while casting this skill."
Esmeralda,"Esmeralda, the Astrologer",81,Mage/Tank,Regen/Mixed Damage,EXP Lane,2573,7.2,502,20,1 ┃ 100%,114,0,21,15,240,,,32000   599,Regen/Mixed Damage,1881W : 2131L (46.88%),Esmeralda,Starmoon Casket,BUFF Shield,"Esmeralda manipulates Stardust and Frostmoon. Each of her Basic Attack and skills deal damages twice - Stardust deals Physical Damage, and Frostmoon deals Magic Damage and gives the target a shield equal to 135% of Frostmoon's damage dealt. 

The damage dealt by Esmeralda ignores all shield effects and transforms her Shield into her HP at the same time.",Frostmoon Shield,Shield BUFF,"Esmeralda gains 400 (+150%Total Magic Power) Shield and 40% Movement Speed which rapidly decays over its duration for 4s. Meanwhile, she gradually transforms the shields of her nearby enemies into her own shield, capped at 50% of her Max HP.",Stardust Dance,AoE BUFF,"Esmeralda waves Stardust and Frostmoon, dealing 240(+60%Total Physical Attack) Physical Damage and 240(+90%Total Magic Power) Magic Damage to nearby enemies. Each time she deals damage to a hero, the cooldown of Frostmoon Shield is reduced by 1.3s (damaging non-hero units grants a 0.5s reduction) and the enemy's Movement Speed is reduced by 10% for 1.5s.",Falling Starmoon,Burst Blink,"Esmeralda coheres the power of Astrospace into her two weapons - Stardust and Frostmoon. The longer the duration lasts, the greater the power will be. Use again: Esmeralda casts the Stardust to the designated location, dealing 350 (+90%Total Physical Attack) Physical Damage, and then she moves to the designated location to cast Frostmoon, dealing 350 (+140%Total Magic Power) Magic Damage and immobilizing enemies in the area for 1s."
Terizla,"Terizla, the Executioner",82,Fighter,Burst,EXP Lane,2728,10.8,430,21,1 ┃ 100%,129,0,19,15,255,,,32000   599,Burst/Crowd Control,1344W : 1240L (52.01%),Terizla,Body of Smith,BUFF,"Terizla gains 1% extra Damage Reduction (up to 30%) for every 2.5% HP lost.

He cannot gain extra Attack Speed and will convert every 1% extra Attack Speed he's supposed to receive into 1 extra Physical Attack.",Revenge Strike,AoE Speed Up,"Terizla cracks the ground with his hammer and the fissure will spread out, dealing 300(+80%Extra Physical Attack) Physical Damage. After the fissure hits the first target, it will drill into the target and slow them by 30%. At the same time, Terizla's Movement Speed will be increased by 25% for 3s. The fissure on target will then explode, dealing 300(+80%Extra Physical Attack) plus 20% of the enemy's lost HP Physical Damage.",Execution Strike,Burst Slow,"Terizla waves his hammer in a fan-shaped area ahead. This skill can be cast up to 3 times. The first two attacks deal 135(+125%Total Physical Attack) Physical Damage each, while the third deals 225(+300%Total Physical Attack) Physical Damage. Enemies hit will also be slowed by 20% for 1.25s (the slow effect can stack).

Deals only 60% damage to minions.",Penalty Zone,CC AoE,"Terizla jumps to the designated area to smash down, causing 300(+100%Total Physical Attack) Physical Damage and slowing enemies by 45%. Meanwhile, he summons Scaffold, which will reach out a hook to the enemies and pull the target for several times, causing 150(+30%Total Physical Attack) Physical Damage each time."
X.Borg,"X.Borg, the Firaga Armor",83,Fighter,Regen,EXP Lane/Jungling,918,7.8,0,0,1.08 ┃ 100%,117,0,25,15,260,,,32000   599,Regen/Burst,773W : 832L (48.16%),X.Borg,Firaga Armor,BUFF,"X.Borg's Firaga Armor inherits 120% of his Max HP and takes all damage for X.Borg while it's active. When the Armor is consumed, X.Borg will disengage from the Armor and roll to the direction chose by your Joystick, he takes no damage in the process. The energy of his Armor is gradually regenerated while X.Borg is in the Armorless State. When energy is full, X.Borg re-equips the Armor and restore the Armor to 30% of his Max HP.

X.Borg's fire damage causes enemies to warm up, and enemies with highest temperature will drop Firaga supplies when they take flame damage. Picking up a Firaga supply restores 10% of Armor HP, or 10 energy while in Armorless State.",Fire Missiles,AoE,"X.Borg sprays fire in the target direction, dealing 25 (+60%Total Physical Attack)(+40%Total Magic Power) Physical Damage to enemies hit 7 times over 2s (only 75% damage against minions at Lv. 1). Enemies with the maximum temperature are dealt True Damage.
Armorless State: The attack range becomes narrower but longer, while the damage is reduced to 60% of that in the Armor state.",Fire Stake,CC,"X.Borg shoots 5 Fire Stakes at the edge of the fan-shaped indicator and retrieves them after 1.7s, each dealing 50 (+20%Total Physical Attack) Physical Damage and pulling the enemies in the path toward him. Firaga Supplies in the path will also be retrieved if touched by Fire Stakes.
Armorless State: X.Borg adjusts Fire Stake Launcher to increase its range and shorten the distance between Fire Stakes.",Last Insanity,Burst Blink,"X.Borg charges in the target direction, rotating while spraying fire around, dealing 200 (+130%Extra Physical Attack)(+90% Total Magic Power) Physical Damage to enemies hit 7 times and slowing them by 25%. He stops upon hitting an enemy hero and additionally slows them by 40%. His Firaga Armor detonates after 3s or upon destruction, dealing 300 plus 15% of the target's Max HP as True Damage to nearby enemies (only 50% of the damage if the Armor is destroyed). X.Borg can dash a short distance in the Joystick's direction upon the detonation, removing all debuffs on him and entering the Armorless state. This skill cannot be cast in the Armorless state.
Use Again: X.Borg stops spraying and triggers the detonation early."
Ling,"Ling, the Cyan Finch",84,Assassin,Chase,Jungling,2578,7.8,,,1.01 ┃ 100%,125,0,18,15,260,100,4,32000   599,Chase/Burst,1207W : 1198L (50.19%),Ling,Cloud Walker,BUFF,"Ling's superb Lightness Skill allows him to leap among walls. He gains 4 extra Lightness Points per second when he's on a wall and 5 extra Lightness Points each time he deals damage.
Ling gains 2 times Crit Chance from all sources but only has 140% Crit Damage.",Finch Poise,Blink BUFF,"Passive:  Ling's Critical Chance is permanently increased by 2.5%.
Active:  Ling casts his Lightness Skill, leaping onto the designated wall, entering half-stealth state, restoring Lightness Points more quickly and gaining 30% Movement Speed. If Ling receives damage, he will leave the half-stealth state. If he is controlled, he will fall onto the ground and be slowed by 30% for 2s. When using this skill to jump from a wall to another, it will reset the Cooldown and refresh the half-stealth state.",Defiant Sword,Damage Blink,"Ling charges in the target direction and stabs nearby enemies, dealing them 250 (+33% Total Physical Attack) Physical Damage.

If Ling casts this skill when he's on the wall, he'll dash to the target location on the ground, dealing 250 (+33% Total Physical Attack) Physical Damage to enemies in the area and slowing them by 30% for 1.5s. If this attack critically strikes, the enemies will be slowed by an extra 45% for 0.75s. Defiant Sword is regarded as Basic Attack, can trigger attack effects, and restores 35 HP for Ling each time it hits an enemy.",Tempest of Blades,Burst CC,"Ling leaps into the air, becoming invincible and gaining 10% extra Movement Speed for 1.5s. He can move freely when in the air. He then lands on the ground, dealing 250 (+100% Total Physical Attack) Physical Damage to enemies in the area, knocking those in the center airborne for 1s, and creating a Sword Field for 8s.
Four Tempest of Blades will also appear on the edge of the Sword Field. Ling can touch them to reduce the cooldown of Finch Poise by 4s, reset the cooldown of Defiant Sword, and gain 25 Lightness points."
Dyrroth,"Dyrroth, the Prince of the Abyss",85,Fighter,Charge,EXP Lane/Jungling,2758,8.2,0,0,1.14 ┃ 100%,117,0,22,15,265,,,32000   599,Charge/Burst,618W : 549L (52.96%),Dyrroth,Wrath of the Abyss,BUFF HEAL,"When Dyrroth's Rage reaches 50%, he will enhance ""Burst Strike"" and ""Spectre Step"".
After each 2 Basic Attacks, Dyrroth will release Circle Strike, dealing (+140%Total Physical Attack) Physical Damage to enemies in the circle and regenerating HP according to the damage he deals (Circle Strike doesn't have ATK Effect). Each time he hits an enemy hero, the CD of ""Burst Strike"" and ""Spectre Step"" will be decreased by 1s.",Burst Strike,AoE Slow,"Dyrroth releases a burst strike in a designated direction. Each burst deals 200(+60% Total Physical Attack) Physical Damage to enemies and slows them by 25% for 1.5s. (The damage decays against the same target and decreases to only 75% on minions.)
Abyss Enhanced: Burst Strike has a longer range, deals 140% of the original damage, and its Slowing Effect is doubled.",Spectre Step,Blink Damage,"Dyrroth dashes in the designated direction. He will stop when he hits a target, dealing 230(+60%Extra Physical Attack) Physical Damage to enemies. When he uses this skill again, he will lock onto a target and release a Fatal Strike, dealing 345(+120%Extra Physical Attack) Physical Damage and reducing the target's Physical Defense by 50% for 4s.
Abyss Enhanced: Fatal Strike will deal 150% of the original damage, slow the target by an extra 90% and reduce the target's Physical Defense by 75% for 4s.",Abysm Strike,Burst Slow,"Dyrroth quickly charges and releases a Fatal Strike, dealing Physical Damage equal to 650(+250%Extra Physical Attack) plus 20% of enemies' lost HP to enemies along the way and slowing them by 55% for 0.8s."
Lylia,"Lylia, the Little Witch",86,Mage,Push,Mid Lane,2501,6.8,500,19,1.01 ┃ 100%,113,0,17,15,245,,,32000   599,Push/Damage,1274W : 1276L (49.96%),Lylia,Angry Gloom,BUFF Speed Up,"Lylia gets power from Gloom, increasing her Movement SPD by 15%. Each Gloom upgrade further increases this bonus by 5%. 

Gloom gains an upgrade every time he devours Shadow Energy, up to 5 times. Gloom upgrade increases the detonation damage of Shadow Energy.",Magic Shockwave,AoE Slow,"Lylia sends out Gloom with a shockwave, dealing 250(+100%Total Magic Power) Magic Damage to enemies in a line and slowing them by 30% for 1.5s. 

If Gloom touches Shadow Energy, he will devour and detonate it.",Shadow Energy,AoE Slow,"Lylia condenses Shadow Energy at the target location, dealing 100(+50%Total Magic Power) Magic Damage to enemies hit and slowing them by 80%. 

Shadow Energy can be detonated by Gloom's devour, dealing 250(+100% Total Magic Power) Magic Damage to the enemies nearby. Each Gloom upgrade increases the detonation damage by 30%, up to 120%. 

Lylia starts with the skill Shadow Energy.",Black Shoes,HEAL BUFF,"Lylia returns to the Black Shoes' location 4s ago and restores all Shadow Energy charges, her HP and Mana to the previous state, and an extra 10% Max HP. She also gains 20% extra Movement Speed for 2s."
Baxia,"Baxia, the Mystic Tortoise",87,Tank,Support,Roaming/Jungling,2769,8.4,422,15,1 ┃ 90%,125,0,23,15,240,,,32000   599,Support/Damage,1283W : 1229L (51.07%),Baxia,Baxia Mark,BUFF Debuff,"Baxia activates the ""Baxia Mark"" permanently, reducing the final damage received by 25.

At the same time, Baxia will reduce the Shield and HP Regen of enemies hit by his skills by 50% for 4s.",Shield Unity,Speed Up CC,"Baxia retracts himself into his shield and accelerates forward. When hitting an enemy unit, he will deal 300(+60%Total Magic Power) Magic Damage to it and nearby enemies, stunning the target for 0.8s and slightly knocking other nearby enemies back.

During the process of accelerating forward, use this skill again to launch Baxia upward so that he can cross obstacles and enemy minions. When leaping up, if there is an enemy hero under Baxia, he will strike to this hero, dealing 375(+75%Total Magic Power) Magic Damage to this hero and nearby enemies, stunning the hit target for 1s, and slightly knocking other nearby enemy targets back.",Shield of Spirit,Damage Slow,"Baxia throws out his shield, dealing Magic Damage equal to 180(+120%Total Magic Power) plus 6% of the target's Max HP to the enemies along the way, marking them for 5s, and slowing them by 50% for 1s. The shield disappears upon hitting the first enemy hero or creep.

Baxia can cast the skill again in a short while. If an enemy hero or creep is hit by the skill, the skill's cooldown will be reduced to 15%.",Tortoise's Puissance,Speed Up AoE,"Baxia holds his shield to the front and begins sprinting frantically, gaining 30% extra Movement Speed for 10s while leaving a lava path behind. Enemies on the path will take 40(+30%Total Magic Power) Magic Damage and be slowed by 15% for 0.5s every 0.5s.

For the duration, the Damage Reduction effect from Baxia Mark is increased to 240%."
